PB,6,35,35,2,100.000000000000,12.2,-20.3,4.3,16395.50,Strong
SP,1769,69395,72123,6711,103.930000000000,11.7,-11.3,4.12,8528168.83,Strong
RN,5,51,50,6,98.040000000000,11.9,-12.1,4.49,9992.60,Strong
GO,39,451,489,20,108.430000000000,14.4,-12.1,4.19,64886.49,Strong
MA,1,389,307,95,78.920000000000,17.7,-11.3,4.02,36097.98,Average
CE,12,87,82,8,94.250000000000,19.6,-10.5,3.79,19517.84,Strong
PI,1,11,11,0,100.000000000000,13.7,-15,4.36,2383.00,Strong
DF,30,808,825,59,102.100000000000,13.1,-12.8,4.06,94891.30,Strong
PA,1,8,7,1,87.500000000000,13.3,-11.4,4.5,1238.00,Average
RS,125,1964,2077,98,105.750000000000,13.4,-15.1,4.13,375448.45,Strong
SE,2,9,10,0,111.110000000000,12.6,-17.3,3.9,1606.20,Strong
RJ,163,4229,4312,381,101.960000000000,11.6,-12.1,4.17,821754.40,Strong
PR,335,7556,7973,549,105.520000000000,12,-14.9,4.22,1235969.85,Strong
SC,184,3608,3772,235,104.550000000000,12.9,-13.9,4.23,614620.05,Strong
AM,1,3,1,2,33.330000000000,48,9,2.33,1177.00,Poor
BA,18,550,591,34,107.450000000000,15.8,-12.9,4.23,277994.51,Strong
RO,2,14,14,0,100.000000000000,17.1,-24.7,4.06,4762.20,Strong
ES,22,310,340,24,109.680000000000,12.4,-13.2,4.38,46941.64,Strong
PE,9,403,427,18,105.960000000000,13.5,-15.7,4.12,91164.15,Strong
MT,4,136,137,7,100.740000000000,14.2,-13.7,4.22,17007.82,Strong
MG,236,7745,8136,481,105.050000000000,12.7,-13.1,4.19,979071.65,Strong
MS,5,49,46,4,93.880000000000,11.3,-15,4.29,8551.69,Strong
